Feature,Gain,Cover,Frequency
system,0.000731905446329085,0.00185977386003488,0.00142247510668563
metastat,0.000729228571136637,0.00118046100432569,0.000711237553342817
assay,0.000728193582337216,0.00121901705517997,0.000948316737790422
gift,0.000727793769513901,0.0011576365877787,0.000948316737790422
genom,0.000725898682834508,0.000375869864320123,0.000711237553342817
process,0.00072531305928558,0.000641076508447658,0.00189663347558084
fgfr,0.000721353259137012,0.00088707625418135,0.000711237553342817
cystein,0.000720541887085343,1.45405325423702e-05,0.000237079184447606
prolifer,0.000718766439716518,0.000934010388652584,0.000948316737790422
putat,0.000718290927838517,0.000666900820341492,0.000711237553342817
experiment,0.000717913302669161,0.00094775897734781,0.000474158368895211
centrifug,0.000715619708322568,0.000754907872085918,0.00118539592223803
uncertain,0.000712174096178218,0.00016077745996503,0.000711237553342817
smaller,0.000711567198584611,0.000652308276731112,0.000711237553342817
cotransfect,0.000708866830582088,0.000111738821040899,0.000474158368895211
core,0.000707733955074021,0.000341054515727425,0.00118539592223803
twice,0.000706407046356815,4.81591204923265e-05,0.000237079184447606
panel,0.000703559195713265,0.00109377672677135,0.00142247510668563
rather,0.000702178340543294,0.000492071630657689,0.000237079184447606
rescu,0.00069996262051158,0.000250078462428423,0.000711237553342817
found,0.000699921725619968,0.00073144745288155,0.00118539592223803
introduct,0.000695739570374559,0.000985343518500508,0.00118539592223803
alon,0.000695592087733532,0.000697113177913487,0.000948316737790422
typic,0.000695269714173057,0.000330947736953501,0.000237079184447606
divid,0.000695239695582405,0.000570009330433877,0.00118539592223803
gdc,0.000694707191887369,0.0012589613713834,0.000474158368895211
calcul,0.000694676738244679,0.000953839970637747,0.000711237553342817
dimethyl,0.000693931494102852,0.00173359951774107,0.000711237553342817
algorithm,0.000692568041014418,0.000439059907424632,0.000237079184447606
contrast,0.000691397751031047,0.000463924464440302,0.000237079184447606
melanocyt,0.000690662513086103,0.00078228924951336,0.000237079184447606
layer,0.000688301920725592,0.00043216596802966,0.000711237553342817
amino,0.00068779073458044,0.000267209725847632,0.000948316737790422
togeth,0.000687309567025938,0.000105564295242104,0.000474158368895211
locat,0.000686955869718696,0.00068310384377116,0.000948316737790422
gal,0.000686712675629215,0.00119283853434088,0.000474158368895211
wellestablish,0.000686481662996809,0.000166761608232267,0.000237079184447606
small,0.000686444248521505,0.00130220623957185,0.00118539592223803
silenc,0.000680917782477353,0.0011071840575303,0.000711237553342817
close,0.000680099884645108,0.000282504982463577,0.000711237553342817
regul,0.000676010830535923,0.0016180491434481,0.00142247510668563
develop,0.000675975156268771,0.00107088373658716,0.00189663347558084
“depend,0.000674688272339101,0.000868302581990002,0.000711237553342817
investig,0.000671025134175537,0.000562669075806026,0.00142247510668563
kit,0.000670734954465905,0.000879554547406455,0.00118539592223803
complet,0.00067063967806949,0.00118301256012565,0.00142247510668563
use,0.000670142848641605,0.00027398117124121,0.00118539592223803
time,0.000669725633736752,0.00020872915728166,0.00118539592223803
depriv,0.000668807238883631,0.00123479934334475,0.000474158368895211
wherea,0.000668455281784542,0.000340007002236054,0.000711237553342817
care,0.000668405685852161,0.000482446477594042,0.00118539592223803
foci,0.000663992517974347,0.00165444975994919,0.000948316737790422
cancer,0.000663912033347238,0.00111073829286694,0.00142247510668563
vector,0.000663599230931608,0.000610823411556138,0.000711237553342817
anticipation,0.000662814832106322,0.000711247076378361,0.00118539592223803
ligandindepend,0.000661361758297973,0.0010085408458938,0.000237079184447606
qualiti,0.000657159155606757,3.95320922588297e-05,0.000237079184447606
concentr,0.000656191164821255,0.000693266590226847,0.000948316737790422
test,0.000655810929339669,0.00114792866787618,0.000711237553342817
ctermin,0.000655174448207448,0.000230506796451457,0.000711237553342817
featur,0.000653950211771312,0.000764379039263117,0.00118539592223803
ovarian,0.000651646611227835,0.00039390965367081,0.000474158368895211
drug,0.000651497823430693,0.00128072136681628,0.000474158368895211
induc,0.000649908578334315,0.000672369849702955,0.00189663347558084
compar,0.000648696088303216,0.000324747677193852,0.00142247510668563
brd,0.00064716165976368,0.000935591929982903,0.000237079184447606
ezh,0.000645668996219833,0.00134411864906794,0.000948316737790422
basi,0.000643842212710474,0.000452451043671466,0.000948316737790422
onlin,0.000640946506342697,0.00059147810069161,0.000711237553342817
indic,0.000640062045548572,0.00039618551170425,0.000948316737790422
among,0.000639675719338448,0.00124811700619431,0.00118539592223803
correl,0.000637730601674636,0.000976658383253392,0.000948316737790422
empti,0.000637042784401882,0.00130259189439503,0.000948316737790422
therefor,0.00063653681888119,0.000723920892353737,0.00118539592223803
scientif,0.000636183991678025,0.000583246273762146,0.000474158368895211
day,0.000632984183935386,0.000507642055958084,0.000474158368895211
mitochondri,0.000629460262424119,0.00162353181392559,0.000711237553342817
methodolog,0.000628021110280999,0.000218986379392508,0.000474158368895211
revis,0.000625346845400781,0.000299493347716276,0.000474158368895211
insect,0.000624967480023272,0.000550912228071707,0.000474158368895211
univers,0.000623690602290486,7.54261701851326e-05,0.000237079184447606
top,0.000622904028205008,0.000634734240628548,0.000711237553342817
equal,0.000622884842410113,0.00175305464764084,0.00165955429113324
might,0.000622668665052218,0.00053060364278306,0.000948316737790422
understand,0.00062217270572841,0.000746254964838042,0.000948316737790422
quench,0.00062119296853787,0.00108329209138392,0.000948316737790422
instruct,0.000620563448238265,0.000344465783886852,0.000474158368895211
relat,0.000620311118055976,0.000673486833970704,0.000948316737790422
signific,0.000620165810675141,0.000451795142927468,0.00118539592223803
multipl,0.000619482778974809,0.000276815969978107,0.000474158368895211
correspond,0.000617154815517181,0.000637758749793522,0.000711237553342817
second,0.000615203607124831,0.000644168234039313,0.000948316737790422
blot,0.000615133128694605,0.00113367427672036,0.00118539592223803
databas,0.00061211517270403,0.000451136573769543,0.00118539592223803
primari,0.000610329719138321,0.000587266538389732,0.000711237553342817
mani,0.000609922510430352,0.000257212444058994,0.000948316737790422
follow,0.00060958012447611,0.000294988558928804,0.000711237553342817
thus,0.000609028913543421,0.000381265742334273,0.000948316737790422
uncontrol,0.000603525940309344,0.000262056650497281,0.000237079184447606
homolog,0.000602674108418102,0.000209808415697336,0.000948316737790422
cellular,0.000602653225920258,0.000238454115247727,0.000948316737790422
kinet,0.00060182227652686,0.000416588411623081,0.000474158368895211
adjac,0.000601585608217955,4.48387854385363e-05,0.000237079184447606
address,0.00060149859781027,0.000203704441842631,0.00142247510668563
can,0.000601310655329669,0.00083610345222786,0.000948316737790422
select,0.000601008729215,0.000829451395353953,0.000711237553342817
consid,0.000599595245142147,0.000138847767208524,0.000711237553342817
common,0.000599314201525322,0.000540840046664563,0.00118539592223803
exon,0.000599159322999642,0.000216287370719506,0.000474158368895211
issu,0.000596560322122072,0.00151320048921697,0.000711237553342817
aml,0.000595327819697206,0.00032052274981877,0.000474158368895211
lower,0.000595078099827148,0.00042992496040225,0.000948316737790422
laboratori,0.000593357469015165,0.00061242676026924,0.000711237553342817
institut,0.000593239134860713,0.000216785628009689,0.000474158368895211
akt,0.000593055107848458,0.000453409717381919,0.00118539592223803
rna,0.00059226287808648,0.000345557993311502,0.00118539592223803
five,0.000591970088064618,0.00130679347314825,0.00118539592223803
opposit,0.000590715397985791,0.000655802978832898,0.000948316737790422
substrat,0.000590450886346427,0.00113378216345586,0.000711237553342817
larg,0.000589633423566221,0.00137920194322463,0.000948316737790422
date,0.000588390479892432,6.54329140209534e-05,0.000948316737790422
spontan,0.000588371337602741,0.000685582248223809,0.000474158368895211
also,0.000587821866878206,0.000367127289162869,0.000711237553342817
immunoprecipit,0.000587368107602126,3.87212164749437e-05,0.000237079184447606
stimul,0.000586502354045654,0.000590857694453556,0.000948316737790422
fold,0.000584628584916144,0.000477536043882512,0.000948316737790422
greater,0.00058436407327678,0.00139764137356804,0.00118539592223803
came,0.000583961650141234,0.000402233494873623,0.000237079184447606
contact,0.000582358048327588,0.000303885879090263,0.000474158368895211
devoid,0.000581379181241125,0.00173668061568415,0.000711237553342817
baf,0.000580571289605764,0.00103120626177644,0.000474158368895211
shorter,0.000575820521346129,0.000731185212202507,0.000711237553342817
myelodysplast,0.000573630469384683,0.000779833848629049,0.000948316737790422
page,0.000572949612944543,0.000826043646740481,0.000711237553342817
therapy,0.000572132585216375,0.000932405935768202,0.000237079184447606
feedback,0.000570908348780238,0.000468924290018391,0.000474158368895211
fig,0.000569753285618212,0.000137982050917722,0.00118539592223803
minut,0.000569078954958648,0.000163398256505686,0.000474158368895211
contain,0.000568691758644447,0.000983191833728953,0.000948316737790422
materi,0.000566471688092349,0.000116400586178704,0.000474158368895211
surprise,0.0005662028259326,2.47831243837562e-05,0.000237079184447606
data,0.000565786916183863,0.000802698843470576,0.000948316737790422
facial,0.000561734841497944,0.000812771277916972,0.000237079184447606
report,0.000561153176922565,0.000880475242225583,0.00142247510668563
volum,0.000561053985057804,0.000254048326237782,0.000948316737790422
discuss,0.000559015766257768,0.00184119240566055,0.000948316737790422
point,0.000557995569227655,0.000622521646198333,0.000711237553342817
effort,0.000556401973610892,0.000751212808903915,0.000474158368895211
averag,0.000555820309035514,0.000120843495367349,0.000948316737790422
least,0.000555306077526092,0.000501034971060276,0.000711237553342817
period,0.00055340794548243,0.000430953748988995,0.000711237553342817
led,0.000550971219015195,0.000635567889945088,0.000474158368895211
antigen,0.000550662767119949,0.00110237470149804,0.000474158368895211
experi,0.000550402606000969,0.00114455227312635,0.00118539592223803
drawn,0.000550153756234988,8.71267051841616e-05,0.000237079184447606
molecul,0.00054990969204143,0.00112842164192624,0.000711237553342817
variat,0.000549009569373923,0.000268184801102309,0.000237079184447606
growth,0.000548789433042478,0.00027507448483714,0.00118539592223803
four,0.00054604904025242,0.000689999393415916,0.00142247510668563
